GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU VRAM UTIL,CPU UTIL,RAM UTIL
2.00,400.00,400.00,45.00,2.00,112.00,3.66,5.42
2,400,400,45,2,112,3.66,5.42
